                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8608,                   2.02,                 1.5955,                0.28291,                0.21897,                0.15391,                0.05539,                  2.736,                 2.3996,                 1.5627,             0.00066644,             0.00066644,             0.00066644
                      2,                 2.7381,                 1.8654,                 1.5228,                0.36722,                0.24409,                0.25247,                0.08796,                  2.616,                 1.6303,                 1.4648,              0.0013199,              0.0013199,              0.0013199
                      3,                 2.7422,                 1.8462,                 1.5039,                0.40182,                0.23513,                0.25987,                0.09077,                 2.6224,                 1.6728,                 1.4636,              0.0019602,              0.0019602,              0.0019602
                      4,                  2.697,                 1.7994,                 1.5075,                0.37743,                0.24851,                0.26396,                0.09398,                 2.6241,                 1.6016,                 1.4492,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6983,                 1.7548,                 1.5068,                0.43382,                 0.2646,                0.29622,                0.10795,                 2.5572,                 1.5149,                 1.4589,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.6392,                 1.6476,                 1.4633,                0.45742,                0.26993,                0.30895,                0.11414,                 2.5041,                 1.4824,                 1.4079,               0.001901,               0.001901,               0.001901
                      7,                 2.6054,                  1.642,                   1.45,                0.44274,                0.27134,                0.30991,                0.11496,                 2.4844,                 1.4529,                 1.3965,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.5899,                 1.5476,                 1.4258,                  0.395,                0.26147,                0.28021,                0.09597,                 2.6111,                  1.499,                 1.4231,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.5725,                 1.5626,                 1.4341,                0.48003,                0.27111,                0.31659,                0.11794,                 2.5119,                 1.4803,                 1.4281,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.553,                 1.5596,                 1.4258,                0.48621,                0.28298,                0.33376,                 0.1231,                 2.4538,                 1.4256,                 1.3766,              0.0018218,              0.0018218,              0.0018218
                     11,                  2.524,                 1.5254,                 1.4074,                0.46899,                0.27976,                0.32745,                0.12315,                 2.4551,                 1.4421,                 1.3786,               0.001802,               0.001802,               0.001802
                     12,                 2.5272,                 1.5139,                 1.4091,                0.49465,                 0.2936,                0.34357,                0.12822,                 2.4597,                 1.4177,                 1.3904,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.5136,                 1.4908,                 1.3953,                0.49656,                0.29671,                0.34561,                0.13049,                 2.4322,                 1.4029,                 1.3716,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.5051,                 1.4756,                 1.4003,                0.49708,                0.29117,                0.34421,                0.12818,                 2.4527,                 1.3948,                 1.3749,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.4813,                 1.4896,                  1.405,                0.49067,                0.28555,                0.34071,                0.13019,                 2.4225,                 1.4106,                 1.3676,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.4848,                 1.4701,                 1.3878,                0.45451,                0.29032,                0.32777,                0.12375,                 2.4295,                 1.4446,                 1.3715,               0.001703,               0.001703,               0.001703
                     17,                 2.4657,                 1.4441,                 1.3802,                0.52902,                0.30602,                0.36607,                0.13818,                 2.4112,                 1.3551,                 1.3589,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.4596,                 1.4465,                 1.3791,                0.52561,                0.30611,                0.36041,                0.13416,                 2.4262,                 1.3644,                 1.3763,              0.0016634,              0.0016634,              0.0016634
                     19,                  2.435,                 1.3938,                 1.3704,                 0.5302,                0.31332,                0.37161,                0.14075,                 2.3906,                 1.3254,                 1.3519,              0.0016436,              0.0016436,              0.0016436
                     20,                  2.426,                  1.397,                 1.3736,                0.54186,                0.30888,                0.37393,                0.14294,                 2.3761,                 1.3347,                 1.3501,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.4265,                 1.3857,                 1.3666,                 0.5202,                0.30211,                0.36083,                0.13861,                 2.3904,                 1.3385,                 1.3673,               0.001604,               0.001604,               0.001604
                     22,                 2.4303,                 1.3922,                 1.3579,                0.52318,                0.30974,                0.36878,                0.14021,                 2.3677,                 1.3436,                 1.3497,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.4141,                  1.388,                 1.3593,                0.55585,                0.30916,                0.37724,                0.14398,                   2.37,                 1.3311,                 1.3479,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.4241,                 1.3861,                 1.3542,                0.52929,                0.30834,                0.37026,                 0.1413,                 2.3757,                  1.345,                  1.345,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.4024,                 1.3773,                 1.3617,                0.54612,                0.31192,                0.37476,                0.14238,                 2.3773,                 1.3207,                  1.353,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.3989,                 1.3641,                  1.351,                  0.568,                0.32423,                0.39007,                0.14909,                 2.3508,                 1.2942,                 1.3436,               0.001505,               0.001505,               0.001505
                     27,                 2.4033,                 1.3754,                 1.3536,                0.55816,                0.31412,                0.38246,                0.14656,                 2.3667,                 1.3179,                 1.3429,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.3817,                 1.3511,                 1.3469,                0.56753,                0.32472,                0.39478,                0.15391,                 2.3375,                 1.2748,                 1.3354,              0.0014654,              0.0014654,              0.0014654
