                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4525,                 1.5251,                0.98477,                0.39254,                 0.2835,                0.27215,                0.15824,                 1.3489,                 1.0887,                0.92242,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.4149,                 1.1214,                0.94451,                0.39007,                0.31007,                0.29741,                0.16831,                 1.3788,                 1.0278,                0.92562,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.4513,                 1.1204,                0.95401,                0.39949,                0.30848,                 0.2935,                0.17106,                 1.3543,                 1.0769,                0.92969,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.4436,                 1.1015,                0.95456,                0.39005,                0.31613,                0.30479,                0.17932,                 1.3379,                 1.0289,                0.92277,               0.009703,               0.009703,               0.009703
                      5,                 1.4328,                 1.0753,                0.94884,                0.41485,                0.32999,                0.31819,                0.18617,                 1.3282,                 1.0008,                0.92127,               0.009703,               0.009703,               0.009703
                      6,                 1.4031,                 1.0433,                0.94181,                0.42454,                0.33077,                0.32839,                0.19138,                 1.3204,                0.98933,                0.92273,               0.009604,               0.009604,               0.009604
                      7,                 1.3691,                 1.0138,                0.93554,                0.43454,                0.33457,                0.32533,                 0.1912,                  1.311,                0.98915,                0.92008,               0.009505,               0.009505,               0.009505
                      8,                  1.355,                0.99014,                0.93338,                0.44528,                0.35375,                0.34798,                0.20423,                 1.2977,                 0.9748,                 0.9164,               0.009406,               0.009406,               0.009406
                      9,                 1.3442,                0.97597,                   0.93,                0.46739,                0.34444,                0.35456,                0.21039,                 1.2747,                0.95585,                 0.9108,               0.009307,               0.009307,               0.009307
                     10,                 1.3259,                0.95726,                0.92581,                0.45834,                0.35345,                0.35114,                0.20895,                 1.2808,                0.95092,                0.91218,               0.009208,               0.009208,               0.009208
                     11,                 1.3205,                0.94769,                0.92415,                0.47879,                0.36244,                0.36747,                0.21965,                 1.2645,                0.93302,                0.90808,               0.009109,               0.009109,               0.009109
                     12,                 1.3006,                0.92837,                0.92019,                0.47645,                  0.366,                0.37689,                 0.2235,                 1.2561,                0.91875,                0.90667,                0.00901,                0.00901,                0.00901
                     13,                  1.297,                 0.9202,                0.91963,                 0.4782,                0.37379,                0.37739,                 0.2244,                 1.2485,                0.90949,                0.90313,               0.008911,               0.008911,               0.008911
