                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.094,                0.65754,                0.87118,                 0.5253,                0.40407,                0.41457,                0.24789,                 1.1875,                0.85864,                0.89327,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.1437,                 0.7325,                0.88333,                0.52815,                0.39734,                0.41197,                0.25012,                  1.192,                0.84952,                0.89322,               0.000466,               0.000466,               0.000466
                      3,                 1.1736,                 0.7801,                0.89476,                0.50527,                0.39264,                0.40165,                0.24153,                 1.2017,                0.85554,                0.89591,             0.00068516,             0.00068516,             0.00068516
                      4,                 1.1827,                0.78967,                0.89785,                0.48614,                0.39263,                 0.3949,                0.23615,                 1.2085,                0.88193,                0.89873,             0.00067159,             0.00067159,             0.00067159
                      5,                  1.192,                0.80095,                0.89726,                0.51525,                0.41205,                0.41385,                0.24974,                   1.19,                0.85921,                0.89465,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.1878,                0.78867,                0.89601,                0.50356,                0.39922,                0.40837,                0.24448,                 1.2096,                 0.8552,                0.89588,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.1764,                0.77548,                 0.8943,                 0.5035,                0.38843,                0.40199,                0.24356,                 1.1993,                 0.8606,                 0.8946,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.1713,                0.76964,                0.89383,                0.52025,                0.39857,                0.41455,                0.25079,                 1.2032,                0.85321,                0.89575,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.1702,                0.75924,                 0.8922,                0.52814,                0.39622,                0.41669,                0.25411,                 1.1876,                0.83778,                0.89318,             0.00061504,             0.00061504,             0.00061504
                     10,                  1.161,                0.75465,                 0.8903,                0.52924,                0.40858,                0.41575,                0.25259,                 1.1879,                0.85538,                 0.8927,              0.0006009,              0.0006009,              0.0006009
