                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6448,                 1.5141,                 1.3999,                0.59302,                0.31656,                0.37344,                0.13481,                 2.1803,                 1.1794,                 1.2846,              0.0033295,              0.0033295,              0.0033295
                      2,                  2.404,                   1.23,                 1.2401,                0.62402,                 0.3548,                0.41728,                0.15538,                 2.1213,                 1.0931,                 1.2466,              0.0065309,              0.0065309,              0.0065309
                      3,                  2.356,                 1.1882,                 1.2157,                0.64964,                0.34957,                0.41919,                0.15534,                 2.1817,                 1.1372,                 1.2707,              0.0096003,              0.0096003,              0.0096003
                      4,                 2.3351,                 1.1704,                 1.2043,                0.66359,                0.37847,                0.45063,                 0.1723,                 2.0942,                 1.0597,                 1.2262,               0.009406,               0.009406,               0.009406
                      5,                 2.2904,                 1.1272,                 1.1859,                0.69381,                0.38791,                0.46584,                0.18194,                 2.0464,                 1.0619,                 1.1987,               0.009208,               0.009208,               0.009208
                      6,                 2.2407,                   1.09,                 1.1724,                0.70761,                 0.3911,                0.47547,                 0.1878,                 2.0356,                 1.0554,                 1.1959,                0.00901,                0.00901,                0.00901
                      7,                 2.2009,                 1.0554,                 1.1583,                0.70603,                0.39835,                0.48194,                0.19239,                 2.0261,                0.98911,                 1.2005,               0.008812,               0.008812,               0.008812
                      8,                 2.1651,                 1.0264,                 1.1474,                0.73366,                0.40946,                0.49883,                0.20218,                 1.9863,                0.97243,                 1.1858,               0.008614,               0.008614,               0.008614
                      9,                 2.1204,                0.99518,                 1.1302,                0.72911,                0.41095,                0.50196,                0.20652,                 1.9683,                0.92521,                 1.1696,               0.008416,               0.008416,               0.008416
                     10,                 2.0869,                0.97422,                 1.1179,                0.74054,                0.41762,                 0.5101,                0.21298,                 1.9443,                0.91424,                 1.1597,               0.008218,               0.008218,               0.008218
                     11,                 2.0536,                 0.9527,                 1.1065,                0.74727,                0.42747,                0.51782,                0.21829,                 1.9319,                0.89084,                 1.1641,                0.00802,                0.00802,                0.00802
                     12,                 2.0155,                0.93086,                 1.0959,                0.74334,                0.43337,                0.52184,                0.22453,                 1.8997,                0.86722,                 1.1526,               0.007822,               0.007822,               0.007822
                     13,                 1.9957,                0.91764,                 1.0872,                0.75895,                0.43503,                0.52946,                0.23279,                 1.8766,                0.85538,                 1.1422,               0.007624,               0.007624,               0.007624
                     14,                 1.9601,                0.89641,                 1.0766,                0.75878,                0.43839,                0.53395,                0.23754,                 1.8639,                0.84937,                 1.1409,               0.007426,               0.007426,               0.007426
                     15,                 1.9302,                0.87984,                 1.0653,                0.76501,                0.43905,                0.53671,                0.24158,                 1.8429,                0.82747,                 1.1299,               0.007228,               0.007228,               0.007228
                     16,                 1.9034,                0.86557,                 1.0569,                0.76853,                0.44314,                0.54061,                 0.2466,                 1.8158,                0.82026,                 1.1186,                0.00703,                0.00703,                0.00703
                     17,                  1.875,                 0.8514,                 1.0506,                0.77476,                0.44587,                0.54074,                0.24853,                 1.8044,                0.81861,                 1.1123,               0.006832,               0.006832,               0.006832
                     18,                 1.8512,                0.83721,                 1.0406,                0.77789,                0.44922,                0.55132,                0.25662,                 1.7953,                0.78174,                 1.1132,               0.006634,               0.006634,               0.006634
                     19,                 1.8282,                0.82529,                 1.0353,                0.77931,                0.45234,                0.55349,                0.26089,                 1.7633,                0.77438,                 1.0956,               0.006436,               0.006436,               0.006436
                     20,                 1.8091,                0.81443,                 1.0252,                0.77953,                 0.4548,                0.55452,                0.26238,                 1.7629,                0.76644,                  1.102,               0.006238,               0.006238,               0.006238
                     21,                 1.7819,                 0.8034,                   1.02,                0.78505,                0.45521,                0.55731,                0.26738,                 1.7469,                0.75442,                 1.0946,                0.00604,                0.00604,                0.00604
                     22,                 1.7589,                0.78928,                 1.0125,                0.78678,                0.45904,                0.56388,                0.27408,                  1.727,                0.74472,                 1.0868,               0.005842,               0.005842,               0.005842
                     23,                 1.7476,                0.78465,                 1.0074,                0.79215,                 0.4595,                0.56574,                0.27593,                 1.7218,                0.74921,                 1.0895,               0.005644,               0.005644,               0.005644
                     24,                   1.73,                0.77632,                 1.0047,                0.79221,                0.46251,                0.57009,                0.28139,                 1.7047,                   0.73,                 1.0817,               0.005446,               0.005446,               0.005446
