                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4359,                 1.6019,                 1.0057,                0.47239,                0.33395,                0.33249,                0.12534,                 2.3996,                 1.4478,                 0.9614,             0.00066451,             0.00066451,             0.00066451
                      2,                  2.568,                 1.6333,                 1.0092,                0.46726,                0.31248,                0.30331,                0.10672,                 2.4946,                 1.6836,                0.96904,              0.0013147,              0.0013147,              0.0013147
                      3,                 2.5293,                 1.6224,                  1.006,                0.43108,                0.29458,                 0.2884,                0.10178,                 2.6046,                 1.5276,                0.97988,              0.0019484,              0.0019484,              0.0019484
                      4,                  2.499,                 1.5735,                0.99198,                0.53267,                0.34727,                0.36152,                0.13777,                 2.3674,                 1.3881,                0.95664,              0.0019258,              0.0019258,              0.0019258
                      5,                 2.4318,                 1.5092,                0.98165,                0.54498,                0.36996,                0.38682,                0.13935,                 2.3483,                 1.4775,                0.94618,               0.001901,               0.001901,               0.001901
                      6,                 2.3712,                 1.4522,                0.96752,                 0.5131,                0.34943,                0.35921,                0.12815,                 2.4158,                   1.47,                0.95081,              0.0018763,              0.0018763,              0.0018763
                      7,                 2.3373,                 1.4247,                  0.965,                0.52821,                0.37504,                0.39353,                0.14715,                 2.3319,                 1.3228,                0.93487,              0.0018515,              0.0018515,              0.0018515
                      8,                 2.2917,                 1.3779,                0.96747,                0.57669,                0.40024,                0.42503,                0.16255,                 2.2174,                 1.2887,                0.93037,              0.0018267,              0.0018267,              0.0018267
                      9,                 2.2922,                   1.38,                0.95885,                0.58069,                0.39962,                0.42682,                0.16309,                 2.2222,                 1.2368,                0.92375,               0.001802,               0.001802,               0.001802
                     10,                 2.2389,                   1.33,                0.95445,                0.60788,                0.40454,                0.44572,                0.17345,                 2.1686,                 1.2131,                0.91663,              0.0017772,              0.0017772,              0.0017772
